Date,Open,High,Low,Close,Volume
07/19/2022,"53.60","54.40","53.40","53.90","2,938,836"
07/18/2022,"54.90","55.10","52.85","53.60","6,260,891"
07/15/2022,"56.25","56.25","53.35","53.95","4,200,329"
07/14/2022,"58.60","58.95","55.35","55.70","3,878,721"
07/13/2022,"59.30","61.50","58.00","58.40","3,928,557"
07/12/2022,"55.95","59.65","55.55","58.95","3,151,850"
07/11/2022,"54.85","56.40","54.20","56.05","2,304,966"
07/08/2022,"54.95","55.35","54.25","54.85","2,469,243"
07/07/2022,"54.50","55.10","53.75","54.45","2,808,065"
07/06/2022,"55.90","55.90","53.95","54.35","1,872,747"
07/05/2022,"54.95","55.85","54.35","55.35","4,994,527"
07/04/2022,"55.20","55.75","53.35","54.40","3,482,256"
07/01/2022,"54.00","56.60","52.50","56.10","8,977,205"
06/30/2022,"57.90","59.00","53.50","53.90","7,599,014"
06/29/2022,"58.90","61.50","57.00","57.30","7,684,078"
06/28/2022,"66.10","66.10","59.80","60.35","8,356,875"
06/27/2022,"73.00","73.00","65.05","65.85","6,239,807"
06/24/2022,"71.50","71.50","69.55","70.35","2,324,639"
06/23/2022,"67.50","70.15","66.75","69.55","2,066,692"
06/22/2022,"65.50","68.60","65.00","67.55","3,029,376"
06/21/2022,"65.50","67.30","65.30","66.15","1,784,525"
06/20/2022,"68.00","68.00","63.95","65.05","2,828,680"
06/17/2022,"65.20","69.40","65.20","67.40","1,706,168"
06/16/2022,"71.55","72.00","66.00","67.10","4,073,160"
06/15/2022,"70.55","71.80","68.90","70.30","2,847,827"
06/14/2022,"65.00","70.70","64.05","70.00","3,723,269"
06/13/2022,"67.35","68.25","65.40","67.40","2,986,552"
06/10/2022,"67.20","69.75","66.65","69.10","2,426,337"
06/09/2022,"66.40","69.55","65.05","68.65","2,611,591"
06/08/2022,"65.80","68.45","64.10","67.00","4,291,044"
06/07/2022,"69.85","69.85","64.90","65.40","2,181,963"
06/06/2022,"70.20","71.15","69.25","69.85","1,827,740"
06/03/2022,"74.00","74.90","71.15","72.10","3,310,645"
06/02/2022,"74.55","74.55","71.55","72.00","3,117,512"
06/01/2022,"75.40","79.80","73.10","74.60","12,400,970"
05/31/2022,"68.10","77.75","67.40","75.00","15,870,330"
05/30/2022,"63.20","73.80","62.70","71.20","10,507,250"
05/27/2022,"63.60","63.60","61.60","62.05","1,701,106"
05/26/2022,"60.40","62.50","59.60","60.35","2,832,287"
05/25/2022,"65.90","66.85","60.70","62.25","7,651,633"
05/24/2022,"58.35","67.60","57.80","64.95","9,875,362"
05/23/2022,"58.85","60.45","56.60","57.00","3,411,430"
05/20/2022,"56.30","58.75","56.30","58.05","2,981,039"
05/19/2022,"56.15","56.90","54.80","55.35","3,616,349"
05/18/2022,"56.20","59.55","55.85","58.80","5,601,397"
05/17/2022,"56.40","56.70","55.10","56.15","1,309,979"
05/16/2022,"57.30","57.75","54.80","56.35","2,406,016"
05/13/2022,"53.55","59.20","52.25","56.75","9,030,568"
05/12/2022,"54.00","54.00","51.05","52.00","4,242,213"
05/11/2022,"50.55","56.45","50.35","54.20","9,089,853"
05/10/2022,"55.90","56.75","51.30","52.45","4,560,617"
05/09/2022,"59.45","60.40","55.70","56.75","4,433,605"
05/06/2022,"59.00","62.30","57.65","60.50","4,932,310"
05/05/2022,"65.95","66.30","60.55","61.25","4,555,071"
05/04/2022,"70.05","70.10","64.00","64.50","4,951,785"
05/02/2022,"71.90","71.90","68.80","69.45","1,680,883"
04/29/2022,"74.65","74.80","71.15","71.70","1,545,342"
04/28/2022,"77.30","77.55","73.50","73.85","2,658,903"
04/27/2022,"79.45","79.55","75.55","75.90","1,852,471"
04/26/2022,"80.80","80.80","78.55","79.60","947,703"
04/25/2022,"80.95","81.65","78.50","78.75","1,212,098"
04/22/2022,"80.80","81.75","80.20","81.15","653,124"
04/21/2022,"80.80","81.85","80.65","80.80","1,123,295"
04/20/2022,"82.00","82.25","80.00","80.35","1,283,110"
04/19/2022,"83.00","83.90","79.45","80.40","1,897,478"
04/18/2022,"83.85","84.40","82.50","82.95","1,927,312"
04/13/2022,"83.10","88.20","82.20","83.90","4,018,995"
04/12/2022,"84.00","84.20","81.05","81.45","1,788,938"
04/11/2022,"83.40","85.70","82.95","84.45","2,071,206"
04/08/2022,"83.50","85.50","82.75","83.40","2,031,211"
04/07/2022,"85.00","85.20","82.20","82.50","1,488,878"
04/06/2022,"83.90","85.25","83.50","84.55","738,108"
04/05/2022,"82.75","85.10","82.15","83.85","1,656,760"
04/04/2022,"84.80","87.65","84.45","86.20","1,203,210"
04/01/2022,"82.30","85.50","82.00","84.30","1,883,942"
03/31/2022,"88.00","88.40","81.75","82.30","3,228,307"
03/30/2022,"78.50","86.00","78.50","85.30","4,723,177"
03/29/2022,"80.00","80.55","78.00","78.20","1,796,332"
03/28/2022,"80.40","81.00","79.20","79.65","1,649,113"
03/25/2022,"81.50","81.85","80.20","80.65","912,077"
03/24/2022,"80.25","82.30","80.00","80.30","885,464"
03/23/2022,"82.00","82.00","80.20","80.70","1,084,104"
03/22/2022,"81.15","81.85","79.30","81.10","1,516,610"
03/21/2022,"81.55","83.30","79.35","80.35","1,434,798"
03/17/2022,"77.15","81.90","76.85","80.70","4,335,277"
03/16/2022,"79.95","79.95","75.55","75.95","3,732,438"
03/15/2022,"79.30","79.50","76.05","76.60","2,044,070"
03/14/2022,"80.50","81.00","79.00","79.30","1,108,556"
03/11/2022,"82.30","82.45","79.55","79.90","1,587,199"
03/10/2022,"82.50","83.85","81.60","82.30","1,917,291"
03/09/2022,"79.95","80.65","79.10","80.35","602,087"
03/08/2022,"79.35","80.60","77.20","77.95","1,742,461"
03/07/2022,"79.00","79.65","78.00","79.05","1,939,952"
03/04/2022,"81.00","82.85","79.80","80.30","1,157,529"
03/03/2022,"81.85","83.20","81.25","82.15","662,568"
03/02/2022,"80.00","82.00","79.00","79.65","1,325,402"
02/28/2022,"78.85","81.00","76.50","79.85","2,388,555"
02/25/2022,"81.60","83.40","78.35","78.80","1,472,496"
02/24/2022,"78.00","81.50","78.00","78.45","3,816,734"
02/23/2022,"81.55","85.20","81.20","84.15","2,015,539"
02/22/2022,"77.35","80.50","77.00","79.75","3,026,869"
02/21/2022,"84.00","84.70","80.70","81.55","2,382,000"
02/18/2022,"88.00","88.20","85.40","86.00","1,861,336"
02/17/2022,"86.45","90.00","85.85","89.15","2,918,974"
02/16/2022,"84.90","87.00","84.20","84.95","3,593,180"
02/15/2022,"83.70","84.65","75.75","82.75","4,691,771"
02/14/2022,"86.00","86.85","80.65","82.40","3,901,944"
02/11/2022,"92.90","92.90","85.85","88.75","3,822,495"
02/10/2022,"95.25","95.30","93.00","94.50","1,228,836"
02/09/2022,"94.45","95.45","93.60","94.20","932,243"
02/08/2022,"94.55","94.55","91.25","93.60","1,293,172"
02/07/2022,"95.00","95.60","93.35","93.55","1,178,132"
02/04/2022,"96.80","97.85","93.65","94.20","1,001,374"
02/03/2022,"99.80","99.80","96.10","97.05","1,140,679"
02/02/2022,"95.90","99.75","94.70","98.90","1,033,170"
02/01/2022,"91.95","95.75","91.00","94.55","3,582,896"
01/31/2022,"91.40","92.50","89.65","90.40","1,729,038"
01/28/2022,"93.00","96.40","88.55","89.60","5,816,033"
01/27/2022,"98.00","98.00","90.45","90.50","8,025,227"
01/25/2022,"90.60","100.50","84.10","100.50","10,257,080"
01/24/2022,"113.75","114.00","91.00","91.40","13,301,210"
01/21/2022,"121.00","125.00","112.55","113.75","6,310,491"
01/20/2022,"129.40","130.65","125.00","125.25","1,956,434"
01/19/2022,"132.00","132.35","128.30","129.25","1,256,971"
01/18/2022,"135.35","135.35","132.80","133.05","728,577"
01/17/2022,"133.60","134.50","132.95","133.95","911,590"
01/14/2022,"133.50","134.45","132.00","133.60","435,680"
01/13/2022,"132.35","133.35","132.30","133.05","923,085"
