Date,Open,High,Low,Close,Volume
05/24/2022,"250.80","252.00","232.70","233.70","22,546"
05/23/2022,"269.00","269.00","243.45","246.05","46,069"
05/20/2022,"287.40","295.80","284.15","291.25","6,739"
05/19/2022,"278.75","282.65","272.30","276.40","30,144"
05/18/2022,"292.55","295.20","283.50","288.70","28,739"
05/17/2022,"281.85","297.60","280.50","291.05","24,079"
05/16/2022,"278.15","291.30","274.30","278.45","20,864"
05/13/2022,"274.35","292.75","273.60","284.90","26,960"
05/12/2022,"283.30","284.00","256.00","265.90","40,291"
05/11/2022,"312.25","313.00","275.45","290.50","41,396"
05/10/2022,"319.00","320.00","305.35","309.00","25,625"
05/09/2022,"306.00","327.05","306.00","323.60","20,647"
05/06/2022,"334.80","334.80","321.25","329.05","15,472"
05/05/2022,"344.25","350.50","335.00","339.50","21,032"
05/04/2022,"353.00","354.55","337.75","341.65","19,206"
05/02/2022,"347.00","347.70","331.50","342.60","24,342"
04/29/2022,"348.00","364.10","348.00","356.70","11,739"
04/28/2022,"362.85","363.50","349.00","350.70","14,977"
04/27/2022,"369.30","369.30","357.00","360.55","6,118"
04/26/2022,"379.00","379.00","366.00","369.30","12,302"
04/25/2022,"387.10","387.40","371.00","372.20","17,670"
04/22/2022,"385.50","395.10","384.00","390.20","6,995"
04/21/2022,"383.50","391.00","378.00","387.80","11,743"
04/20/2022,"396.00","397.50","383.15","385.15","4,640"
04/19/2022,"387.15","402.40","385.15","391.20","22,407"
04/18/2022,"372.00","391.70","372.00","387.15","11,781"
04/13/2022,"386.95","388.00","379.00","381.25","13,043"
04/12/2022,"392.15","393.80","380.00","382.95","8,365"
04/11/2022,"392.55","397.35","386.50","391.35","10,280"
04/08/2022,"377.00","394.00","377.00","389.55","15,719"
04/07/2022,"392.70","396.95","382.00","383.45","11,886"
04/06/2022,"396.80","399.60","390.25","391.45","5,273"
04/05/2022,"408.00","408.00","392.45","395.90","14,620"
04/04/2022,"399.20","405.00","393.95","401.55","10,486"
04/01/2022,"390.15","408.95","390.10","393.05","15,712"
03/31/2022,"383.80","394.55","381.05","386.70","31,810"
03/30/2022,"374.50","391.00","373.10","384.10","11,425"
03/29/2022,"362.35","376.50","361.10","372.60","18,627"
03/28/2022,"369.50","370.55","351.85","357.90","10,622"
03/25/2022,"379.40","379.40","364.35","365.85","17,185"
03/24/2022,"374.20","377.60","368.00","372.75","14,159"
03/23/2022,"367.55","371.90","362.85","366.85","11,685"
03/22/2022,"361.10","369.50","358.00","362.10","6,447"
03/21/2022,"356.70","366.25","355.65","361.40","5,825"
03/17/2022,"348.80","363.15","348.35","354.45","15,447"
03/16/2022,"343.00","349.75","340.65","344.05","16,139"
03/15/2022,"356.50","356.50","339.00","341.35","16,009"
03/14/2022,"335.00","358.95","335.00","354.50","12,576"
03/11/2022,"341.30","350.95","337.95","342.45","11,142"
03/10/2022,"353.15","357.90","338.00","341.30","20,396"
03/09/2022,"356.00","356.00","341.00","343.25","7,646"
03/08/2022,"346.00","363.50","333.50","345.90","32,111"
03/07/2022,"340.00","358.55","340.00","354.10","25,668"
03/04/2022,"367.00","367.00","355.10","361.50","7,599"
03/03/2022,"371.65","378.80","360.65","361.70","8,448"
03/02/2022,"340.35","369.75","340.35","366.15","16,888"
02/28/2022,"330.40","356.15","325.80","353.05","27,371"
02/25/2022,"315.00","345.00","312.75","342.75","25,079"
02/24/2022,"330.30","332.40","298.00","302.50","49,377"
02/23/2022,"333.00","344.00","331.25","341.05","9,247"
02/22/2022,"325.10","338.00","324.50","333.95","40,834"
02/21/2022,"365.00","366.95","340.00","346.70","22,838"
02/18/2022,"373.80","382.50","368.25","369.00","5,508"
02/17/2022,"389.75","389.75","376.00","377.85","8,396"
02/16/2022,"377.70","389.15","377.20","382.10","7,992"
02/15/2022,"365.00","377.70","359.00","372.25","20,938"
02/14/2022,"376.10","397.70","369.95","374.15","30,074"
02/11/2022,"407.80","412.55","390.10","396.40","20,127"
02/10/2022,"424.75","424.75","407.20","408.95","48,029"
02/09/2022,"418.95","425.00","404.45","417.05","21,801"
02/08/2022,"425.00","428.50","402.50","413.65","23,188"
02/07/2022,"433.50","433.50","416.70","422.55","11,518"
02/04/2022,"411.50","431.00","410.75","420.40","37,062"
02/03/2022,"422.95","422.95","410.50","411.10","9,569"
02/02/2022,"420.00","420.00","404.00","414.10","14,276"
02/01/2022,"407.00","414.30","387.90","405.35","28,834"
01/31/2022,"393.50","405.40","385.10","403.00","12,018"
01/28/2022,"392.80","403.95","383.45","387.30","10,580"
01/27/2022,"409.70","409.70","374.25","387.00","25,288"
01/25/2022,"378.50","395.50","375.05","392.35","13,796"
01/24/2022,"404.00","404.00","348.25","376.65","64,481"
01/21/2022,"406.10","410.00","393.95","399.70","15,964"
01/20/2022,"399.50","405.00","394.25","398.10","17,938"
01/19/2022,"380.20","400.00","378.70","397.00","28,734"
01/18/2022,"398.90","401.00","381.60","383.80","19,298"
01/17/2022,"383.00","393.75","383.00","389.20","19,525"
01/14/2022,"390.65","391.75","378.75","384.65","8,287"
01/13/2022,"373.65","392.00","370.30","386.20","62,440"
01/12/2022,"361.45","370.70","357.90","369.35","6,668"
01/11/2022,"365.00","370.50","356.35","358.65","22,425"
01/10/2022,"369.55","375.20","366.40","370.55","6,859"
01/07/2022,"368.50","378.00","366.30","369.55","20,890"
01/06/2022,"369.30","377.45","360.65","374.45","28,452"
01/05/2022,"365.65","373.00","365.65","371.65","30,454"
01/04/2022,"368.00","374.95","353.15","365.65","34,413"
01/03/2022,"356.15","378.35","356.00","365.95","37,499"
12/31/2021,"342.50","353.00","342.50","348.80","13,088"
12/30/2021,"348.00","353.85","341.95","343.10","6,281"
12/29/2021,"349.50","349.60","342.80","346.10","8,801"
12/28/2021,"349.90","356.85","343.80","345.45","26,409"
12/27/2021,"309.35","346.70","309.35","345.55","98,272"
12/24/2021,"322.55","323.45","318.60","320.90","12,265"
12/23/2021,"326.35","329.70","319.00","321.75","10,372"
12/22/2021,"321.55","326.75","317.45","324.85","6,333"
12/21/2021,"301.55","319.40","301.55","317.35","13,643"
12/20/2021,"315.00","315.00","301.10","302.85","32,760"
12/17/2021,"327.50","328.30","313.65","319.80","16,554"
12/16/2021,"333.60","337.00","322.90","327.55","13,868"
12/15/2021,"333.90","340.75","326.55","331.45","25,275"
12/14/2021,"335.00","338.95","330.50","332.90","26,577"
12/13/2021,"318.45","338.90","318.45","336.90","41,045"
